,date,time,open,high,low,close,volume
0,20171228,0,880000,881000,860000,870000,65370
1,20171227,0,872000,878000,866000,877000,57356
2,20171226,0,865000,880000,859000,874000,103805
3,20171222,0,850000,864000,843000,862000,87458
4,20171221,0,849000,853000,834000,842000,82697
5,20171220,0,859000,868000,849000,849000,68341
6,20171219,0,863000,870000,850000,855000,79667
7,20171218,0,844000,865000,840000,860000,118097
8,20171215,0,841000,844000,837000,844000,91136
9,20171214,0,842000,849000,835000,835000,143097
10,20171213,0,829000,842000,824000,841000,71600
11,20171212,0,822000,845000,822000,828000,73019
12,20171211,0,830000,835000,820000,826000,57600
13,20171208,0,835000,838000,821000,830000,58893
14,20171207,0,834000,848000,829000,837000,155000
15,20171206,0,833000,834000,824000,826000,69199
16,20171205,0,840000,843000,831000,833000,64004
17,20171204,0,837000,848000,828000,839000,136027
18,20171201,0,809000,833000,801000,831000,153285
19,20171130,0,811000,811000,800000,800000,157332
20,20171129,0,805000,814000,802000,812000,91818
21,20171128,0,799000,811000,796000,807000,95372
22,20171127,0,808000,809000,788000,795000,117386
23,20171124,0,800000,812000,797000,810000,68255
24,20171123,0,805000,807000,794000,801000,67619
25,20171122,0,814000,815000,798000,801000,95432
26,20171121,0,802000,810000,798000,808000,79682
27,20171120,0,808000,809000,796000,801000,85893
28,20171117,0,807000,822000,802000,805000,145275
29,20171116,0,805000,808000,798000,802000,86510
30,20171115,0,805000,808000,792000,805000,91183
31,20171114,0,822000,822000,802000,805000,118432
32,20171113,0,811000,824000,807000,819000,94173
33,20171110,0,822000,830000,807000,814000,157249
34,20171109,0,843000,844000,824000,825000,176602
35,20171108,0,854000,856000,842000,849000,102691
36,20171107,0,872000,872000,850000,860000,84428
37,20171106,0,860000,874000,855000,861000,64415
38,20171103,0,852000,868000,850000,863000,62974
39,20171102,0,860000,873000,855000,856000,70554
40,20171101,0,870000,879000,853000,860000,232078
41,20171031,0,875000,896000,868000,894000,131019
42,20171030,0,887000,899000,870000,876000,105718
43,20171027,0,860000,879000,860000,879000,236645
44,20171026,0,844000,854000,830000,840000,342341
45,20171025,0,800000,811000,795000,804000,93258
46,20171024,0,797000,810000,795000,801000,55457
47,20171023,0,806000,812000,793000,799000,64870
48,20171020,0,818000,823000,792000,801000,103091
49,20171019,0,818000,826000,805000,811000,179233
50,20171018,0,768000,817000,768000,815000,219631
51,20171017,0,767000,772000,764000,768000,92894
52,20171016,0,764000,767000,759000,762000,65306
53,20171013,0,768000,768000,758000,762000,73043
54,20171012,0,751000,772000,751000,768000,114527
55,20171011,0,751000,755000,746000,751000,59229
56,20171010,0,747000,770000,744000,756000,164559
57,20170929,0,733000,749000,733000,745000,52799
58,20170928,0,730000,745000,730000,733000,108761
59,20170927,0,750000,752000,734000,734000,92054
60,20170926,0,746000,755000,736000,753000,75843
61,20170925,0,760000,763000,749000,754000,73864
62,20170922,0,765000,775000,755000,764000,64961
63,20170921,0,777000,781000,760000,763000,67757
64,20170920,0,774000,787000,767000,783000,86367
65,20170919,0,775000,777000,764000,770000,73974
66,20170918,0,762000,786000,761000,781000,122896
67,20170915,0,764000,764000,752000,760000,99262
68,20170914,0,730000,769000,729000,765000,226589
69,20170913,0,733000,735000,725000,729000,74276
70,20170912,0,723000,742000,718000,735000,83031
71,20170911,0,727000,727000,717000,720000,75517
72,20170908,0,725000,733000,724000,727000,70880
73,20170907,0,736000,737000,730000,730000,68175
74,20170906,0,729000,739000,725000,737000,80239
75,20170905,0,728000,742000,727000,736000,97577
76,20170904,0,724000,734000,724000,726000,140477
77,20170901,0,757000,761000,745000,746000,146540
78,20170831,0,769000,770000,751000,755000,198250
79,20170830,0,778000,783000,771000,774000,112999
80,20170829,0,779000,780000,767000,778000,105691
81,20170828,0,781000,793000,779000,783000,109037
82,20170825,0,771000,787000,771000,780000,82607
83,20170824,0,770000,774000,766000,771000,116996
84,20170823,0,772000,781000,770000,773000,97015
85,20170822,0,781000,781000,763000,767000,229898
86,20170821,0,784000,785000,775000,781000,40484
87,20170818,0,773000,785000,773000,784000,52621
88,20170817,0,781000,786000,776000,777000,73408
89,20170816,0,780000,790000,779000,787000,69817
90,20170814,0,807000,807000,776000,779000,79397
91,20170811,0,781000,798000,780000,795000,53942
92,20170810,0,794000,802000,791000,794000,73502
93,20170809,0,798000,807000,797000,798000,51973
94,20170808,0,801000,816000,800000,810000,104049
95,20170807,0,777000,803000,768000,796000,148923
96,20170804,0,779000,785000,776000,776000,67353
97,20170803,0,794000,798000,775000,778000,134930
98,20170802,0,792000,800000,791000,795000,83691
99,20170801,0,794000,802000,790000,796000,82928
100,20170731,0,799000,808000,786000,803000,87685
101,20170728,0,821000,824000,799000,799000,125875
102,20170727,0,820000,829000,819000,825000,70479
103,20170726,0,840000,841000,819000,825000,82343
104,20170725,0,834000,838000,824000,837000,65990
105,20170724,0,837000,838000,821000,833000,68561
106,20170721,0,832000,840000,832000,839000,60799
107,20170720,0,833000,842000,827000,835000,63638
108,20170719,0,831000,842000,830000,835000,69438
109,20170718,0,841000,844000,826000,830000,63292
110,20170717,0,840000,844000,835000,839000,84952
111,20170714,0,829000,839000,826000,839000,98662
112,20170713,0,817000,837000,817000,830000,91884
113,20170712,0,831000,839000,815000,821000,70912
114,20170711,0,813000,835000,813000,830000,82714
115,20170710,0,829000,834000,813000,813000,94323
116,20170707,0,825000,841000,822000,838000,93149
117,20170706,0,834000,835000,818000,825000,108236
118,20170705,0,837000,840000,831000,835000,65120
119,20170704,0,840000,847000,837000,840000,44926
120,20170703,0,844000,850000,833000,844000,64145
121,20170630,0,845000,850000,835000,838000,111979
122,20170629,0,864000,868000,851000,853000,72186
123,20170628,0,858000,865000,851000,861000,101311
124,20170627,0,890000,902000,866000,869000,686346
125,20170626,0,891000,903000,881000,888000,58948
126,20170623,0,884000,896000,875000,887000,61621
127,20170622,0,878000,888000,871000,880000,59325
128,20170621,0,857000,881000,832000,880000,97753
129,20170620,0,892000,893000,864000,866000,83933
130,20170619,0,887000,898000,876000,878000,63532
131,20170616,0,889000,892000,873000,892000,96765
132,20170615,0,880000,896000,879000,885000,76874
133,20170614,0,898000,914000,875000,883000,133198
134,20170613,0,895000,919000,891000,895000,112622
135,20170612,0,926000,933000,895000,895000,198383
136,20170609,0,895000,975000,894000,960000,183462
137,20170608,0,885000,893000,877000,890000,105056
138,20170607,0,876000,888000,871000,876000,84108
139,20170605,0,854000,887000,854000,876000,104348
140,20170602,0,843000,864000,843000,864000,68640
141,20170601,0,850000,860000,842000,842000,55107
142,20170531,0,849000,864000,843000,845000,95528
143,20170530,0,856000,859000,845000,852000,67161
144,20170529,0,860000,864000,852000,856000,45405
145,20170526,0,860000,863000,854000,855000,61658
146,20170525,0,855000,858000,848000,852000,66807
147,20170524,0,850000,855000,842000,852000,91609
148,20170523,0,846000,850000,838000,842000,74596
149,20170522,0,848000,848000,834000,847000,70139
150,20170519,0,822000,833000,822000,832000,125157
151,20170518,0,829000,832000,817000,824000,58999
152,20170517,0,835000,838000,829000,832000,73344
153,20170516,0,839000,850000,830000,839000,54957
154,20170515,0,853000,854000,834000,839000,47526
155,20170512,0,864000,865000,842000,848000,76597
156,20170511,0,841000,866000,837000,866000,174898
157,20170510,0,859000,878000,823000,824000,141076
158,20170508,0,823000,845000,815000,845000,133891
159,20170504,0,806000,823000,803000,823000,88182
160,20170502,0,800000,807000,790000,801000,108742
161,20170428,0,791000,803000,791000,800000,112573
162,20170427,0,796000,800000,785000,791000,169134
163,20170426,0,815000,816000,804000,807000,161105
164,20170425,0,815000,815000,803000,815000,151351
165,20170424,0,811000,813000,805000,810000,86866
166,20170421,0,801000,813000,796000,813000,85913
167,20170420,0,785000,800000,781000,796000,98297
168,20170419,0,778000,785000,777000,777000,82834
169,20170418,0,791000,791000,777000,778000,54222
170,20170417,0,780000,793000,773000,785000,55583
171,20170414,0,798000,811000,786000,787000,59789
172,20170413,0,773000,803000,770000,802000,173040
173,20170412,0,773000,777000,757000,768000,205449
174,20170411,0,810000,811000,767000,770000,263066
175,20170410,0,823000,828000,811000,818000,71406
176,20170407,0,837000,842000,825000,828000,57671
177,20170406,0,838000,840000,826000,840000,72103
178,20170405,0,857000,859000,835000,843000,99674
179,20170404,0,868000,869000,846000,850000,59594
180,20170403,0,855000,878000,843000,873000,54884
181,20170331,0,861000,870000,854000,855000,50026
182,20170330,0,865000,874000,856000,861000,57075
183,20170329,0,859000,865000,854000,864000,58716
184,20170328,0,885000,886000,851000,853000,82475
185,20170327,0,865000,892000,865000,885000,60459
186,20170324,0,864000,880000,864000,872000,55786
187,20170323,0,860000,872000,851000,864000,80062
188,20170322,0,870000,871000,846000,849000,79212
189,20170321,0,828000,872000,825000,871000,150195
190,20170320,0,830000,830000,810000,818000,59293
191,20170317,0,825000,833000,819000,827000,59069
192,20170316,0,834000,835000,817000,819000,53315
193,20170315,0,817000,826000,810000,820000,40787
194,20170314,0,827000,833000,811000,815000,94487
195,20170313,0,800000,833000,799000,826000,83464
196,20170310,0,789000,802000,783000,800000,48907
197,20170309,0,801000,806000,789000,789000,75785
198,20170308,0,798000,807000,791000,800000,56378
199,20170307,0,800000,806000,794000,799000,48316
200,20170306,0,810000,817000,795000,800000,57995
201,20170303,0,816000,839000,794000,809000,98302
202,20170302,0,799000,819000,790000,815000,150962
203,20170228,0,794000,800000,776000,776000,97398
204,20170227,0,800000,807000,792000,796000,33895
205,20170224,0,803000,807000,793000,803000,77173
206,20170223,0,805000,815000,804000,808000,96955
207,20170222,0,788000,800000,786000,797000,107372
208,20170221,0,778000,793000,776000,790000,115574
209,20170220,0,773000,784000,772000,781000,75042
210,20170217,0,773000,785000,772000,780000,104341
211,20170216,0,770000,777000,769000,777000,73821
212,20170215,0,769000,777000,768000,773000,66435
213,20170214,0,785000,790000,766000,770000,119907
214,20170213,0,800000,803000,788000,795000,59380
215,20170210,0,795000,795000,787000,795000,67489
216,20170209,0,788000,796000,783000,787000,102023
217,20170208,0,799000,799000,791000,795000,77643
218,20170207,0,778000,802000,775000,800000,135111
219,20170206,0,781000,781000,772000,779000,127029
220,20170203,0,770000,776000,767000,774000,142414
221,20170202,0,776000,780000,770000,772000,121050
222,20170201,0,761000,774000,760000,771000,92541
223,20170131,0,750000,767000,743000,758000,127610
224,20170126,0,751000,763000,736000,753000,274419
225,20170125,0,763000,768000,760000,763000,119005
226,20170124,0,771000,771000,760000,761000,106880
227,20170123,0,778000,779000,763000,771000,90668
228,20170120,0,797000,798000,785000,785000,73435
229,20170119,0,787000,806000,787000,801000,67811
230,20170118,0,800000,800000,787000,788000,55176
231,20170117,0,787000,797000,782000,795000,50942
232,20170116,0,792000,801000,774000,794000,55042
233,20170113,0,802000,805000,787000,790000,68231
234,20170112,0,799000,815000,796000,802000,56389
235,20170111,0,786000,802000,786000,796000,48742
236,20170110,0,787000,793000,779000,792000,47372
237,20170109,0,791000,799000,777000,779000,76688
238,20170106,0,791000,801000,786000,799000,50269
239,20170105,0,810000,810000,791000,791000,68724
240,20170104,0,775000,810000,771000,810000,120359
241,20170103,0,777000,777000,767000,767000,51766
242,20170102,0,778000,787000,775000,777000,30777
243,20161229,0,758000,777000,754000,775000,56324
244,20161228,0,785000,785000,763000,763000,57737
245,20161227,0,766000,773000,763000,772000,31962
246,20161226,0,766000,773000,765000,765000,20665
247,20161223,0,771000,777000,762000,768000,53375
248,20161222,0,779000,786000,767000,773000,78677
249,20161221,0,795000,797000,779000,779000,44194
250,20161220,0,800000,802000,785000,787000,65614
251,20161219,0,801000,806000,796000,800000,47789
252,20161216,0,797000,806000,789000,806000,100221
253,20161215,0,785000,794000,784000,786000,83964
254,20161214,0,793000,796000,781000,785000,52767
255,20161213,0,794000,795000,782000,786000,60797
256,20161212,0,804000,808000,788000,792000,60521
257,20161209,0,804000,814000,796000,800000,82302
258,20161208,0,756000,804000,756000,804000,134987
259,20161207,0,757000,762000,749000,750000,52901
260,20161206,0,774000,778000,750000,756000,98542
261,20161205,0,749000,769000,744000,764000,82134
262,20161202,0,777000,777000,754000,755000,79960
263,20161201,0,790000,798000,764000,764000,103862
264,20161130,0,802000,810000,786000,798000,168587
265,20161129,0,802000,815000,801000,801000,56621
266,20161128,0,802000,815000,792000,808000,76152
267,20161125,0,810000,817000,802000,805000,124784
268,20161124,0,789000,805000,783000,802000,70341
269,20161123,0,795000,809000,792000,795000,75510
270,20161122,0,788000,813000,787000,810000,105354
271,20161121,0,771000,799000,759000,786000,147242
272,20161118,0,760000,773000,750000,771000,144474
273,20161117,0,748000,755000,743000,745000,99389
274,20161116,0,751000,759000,741000,751000,154996
275,20161115,0,746000,762000,739000,744000,133064
276,20161114,0,760000,779000,746000,746000,139465
277,20161111,0,781000,790000,757000,760000,214331
278,20161110,0,816000,819000,801000,806000,82529
279,20161109,0,826000,827000,784000,805000,124375
280,20161108,0,829000,838000,811000,815000,62904
281,20161107,0,798000,829000,795000,820000,99899
282,20161104,0,808000,810000,785000,789000,102475
283,20161103,0,826000,826000,812000,812000,68345
284,20161102,0,849000,850000,823000,826000,85366
285,20161101,0,860000,860000,832000,847000,224653
286,20161031,0,858000,866000,847000,857000,66212
287,20161028,0,871000,876000,855000,860000,80422
288,20161027,0,863000,883000,853000,859000,178398
289,20161026,0,827000,852000,827000,848000,71085
290,20161025,0,825000,843000,825000,837000,86741
291,20161024,0,826000,836000,826000,833000,135275
292,20161021,0,838000,840000,829000,831000,60552
293,20161020,0,830000,845000,826000,844000,116179
294,20161019,0,841000,845000,823000,829000,85601
295,20161018,0,854000,858000,838000,846000,81061
296,20161017,0,842000,857000,833000,851000,77721
297,20161014,0,831000,849000,831000,844000,56239
298,20161013,0,859000,863000,827000,827000,96099
299,20161012,0,870000,880000,862000,864000,64084
300,20161011,0,888000,894000,853000,862000,70122
301,20161010,0,853000,880000,848000,872000,69249
302,20161007,0,860000,861000,834000,843000,75928
303,20161006,0,869000,874000,852000,861000,54843
304,20161005,0,853000,875000,851000,867000,66523
305,20161004,0,883000,884000,850000,858000,109200
306,20160930,0,886000,888000,859000,883000,172513
307,20160929,0,890000,903000,887000,900000,77187
308,20160928,0,886000,895000,884000,887000,54783
309,20160927,0,876000,890000,866000,884000,80703
310,20160926,0,879000,884000,869000,876000,42051
311,20160923,0,882000,882000,861000,878000,74094
312,20160922,0,867000,874000,855000,873000,112398
313,20160921,0,836000,864000,836000,855000,108756
314,20160920,0,858000,867000,835000,836000,109454
315,20160919,0,853000,870000,845000,856000,117354
316,20160913,0,850000,851000,833000,841000,69669
317,20160912,0,835000,843000,831000,840000,69512
318,20160909,0,852000,860000,841000,847000,83335
319,20160908,0,869000,872000,851000,869000,78393
320,20160907,0,843000,874000,838000,872000,87219
321,20160906,0,858000,875000,833000,843000,120907
322,20160905,0,842000,855000,842000,850000,51800
323,20160902,0,833000,835000,822000,831000,65593
324,20160901,0,845000,847000,819000,829000,90304
325,20160831,0,843000,850000,827000,845000,158267
326,20160830,0,811000,821000,805000,821000,70624
327,20160829,0,806000,819000,800000,810000,84039
328,20160826,0,796000,809000,796000,805000,75008
329,20160825,0,812000,812000,802000,804000,96952
330,20160824,0,807000,814000,800000,812000,71904
331,20160823,0,801000,808000,795000,806000,69435
332,20160822,0,800000,803000,793000,795000,80005
333,20160819,0,807000,811000,798000,805000,137384
334,20160818,0,792000,801000,790000,801000,92495
335,20160817,0,775000,792000,775000,790000,69851
336,20160816,0,784000,798000,783000,790000,112935
337,20160812,0,777000,784000,777000,782000,51184
338,20160811,0,779000,779000,769000,778000,76227
339,20160810,0,765000,776000,759000,775000,160412
340,20160809,0,754000,757000,750000,755000,168810
341,20160808,0,728000,749000,727000,749000,116945
342,20160805,0,711000,725000,705000,723000,55159
343,20160804,0,713000,714000,701000,707000,51248
344,20160803,0,710000,713000,702000,705000,49681
345,20160802,0,701000,715000,699000,713000,48938
346,20160801,0,711000,713000,678000,701000,145886
347,20160729,0,710000,717000,708000,710000,106351
348,20160728,0,717000,719000,707000,710000,98214
349,20160727,0,710000,718000,710000,712000,58607
350,20160726,0,711000,714000,702000,710000,57867
351,20160725,0,708000,714000,708000,710000,51417
352,20160722,0,706000,712000,704000,705000,90330
353,20160721,0,698000,706000,697000,704000,108311
354,20160720,0,715000,717000,691000,695000,201850
355,20160719,0,718000,721000,707000,718000,110798
356,20160718,0,717000,718000,706000,712000,150928
357,20160715,0,750000,753000,706000,716000,306084
358,20160714,0,751000,754000,734000,734000,165410
359,20160713,0,760000,768000,748000,758000,155150
360,20160712,0,759000,768000,748000,755000,127011
361,20160711,0,745000,758000,743000,754000,108205
362,20160708,0,751000,756000,748000,750000,73753
363,20160707,0,752000,770000,748000,753000,68516
364,20160706,0,750000,750000,730000,745000,122446
365,20160705,0,730000,756000,730000,750000,127066
366,20160704,0,716000,729000,712000,727000,117837
367,20160701,0,713000,723000,713000,713000,76569
368,20160630,0,710000,717000,707000,710000,153533
