,date,time,open,high,low,close,volume
369,20160629,0,715000,724000,713000,713000,148394
370,20160628,0,701000,719000,700000,719000,154017
371,20160627,0,728000,730000,706000,710000,234896
372,20160624,0,745000,759000,721000,739000,173581
373,20160623,0,733000,760000,732000,747000,226122
374,20160622,0,699000,730000,699000,730000,201087
375,20160621,0,694000,698000,688000,697000,61540
376,20160620,0,697000,697000,684000,692000,61510
377,20160617,0,701000,702000,688000,689000,73560
378,20160616,0,691000,701000,691000,701000,59844
379,20160615,0,704000,709000,692000,697000,70465
380,20160614,0,689000,702000,679000,697000,130979
381,20160613,0,714000,714000,686000,697000,160118
382,20160610,0,731000,733000,717000,720000,95001
383,20160609,0,731000,733000,712000,720000,134568
384,20160608,0,709000,725000,708000,722000,111238
385,20160607,0,728000,729000,705000,707000,99661
386,20160603,0,702000,708000,695000,707000,87753
387,20160602,0,694000,713000,691000,697000,101813
388,20160601,0,700000,701000,666000,687000,336227
389,20160531,0,710000,720000,706000,720000,115867
390,20160530,0,705000,712000,702000,710000,82852
391,20160527,0,705000,706000,695000,700000,45014
392,20160526,0,704000,709000,699000,703000,45223
393,20160525,0,701000,709000,695000,704000,92645
394,20160524,0,690000,703000,686000,694000,55240
395,20160523,0,690000,690000,673000,690000,57779
396,20160520,0,708000,710000,682000,688000,76520
397,20160519,0,687000,701000,687000,701000,50218
398,20160518,0,694000,698000,682000,698000,175078
399,20160517,0,691000,694000,686000,694000,68326
400,20160516,0,671000,695000,671000,692000,64530
401,20160513,0,675000,687000,668000,677000,92573
402,20160512,0,695000,697000,676000,676000,67686
403,20160511,0,700000,702000,690000,693000,88336
404,20160510,0,708000,714000,695000,707000,106455
405,20160509,0,699000,705000,687000,700000,202321
406,20160504,0,679000,683000,670000,680000,139450
407,20160503,0,682000,682000,675000,676000,68780
408,20160502,0,679000,680000,667000,678000,57779
409,20160429,0,668000,681000,666000,677000,181733
410,20160428,0,691000,691000,646000,659000,228211
411,20160427,0,648000,665000,640000,665000,80668
412,20160426,0,663000,672000,649000,654000,157920
413,20160425,0,662000,665000,655000,662000,71124
414,20160422,0,660000,665000,657000,663000,38974
415,20160421,0,660000,667000,656000,667000,82414
416,20160420,0,666000,668000,651000,654000,92783
417,20160419,0,661000,672000,661000,669000,90281
418,20160418,0,668000,672000,657000,661000,74941
419,20160415,0,672000,677000,668000,673000,80228
420,20160414,0,690000,691000,668000,673000,89049
421,20160412,0,666000,672000,660000,670000,55658
422,20160411,0,663000,670000,656000,664000,59360
423,20160408,0,667000,670000,660000,663000,72693
424,20160407,0,651000,677000,649000,675000,141392
425,20160406,0,645000,651000,642000,649000,84628
426,20160405,0,650000,653000,648000,652000,92265
427,20160404,0,632000,651000,632000,651000,108339
428,20160401,0,645000,645000,624000,628000,62556
429,20160331,0,645000,646000,633000,637000,107783
430,20160330,0,649000,649000,632000,637000,89180
431,20160329,0,617000,640000,616000,640000,71050
432,20160328,0,616000,628000,615000,617000,54766
433,20160325,0,624000,629000,611000,613000,104353
434,20160324,0,638000,642000,621000,624000,73071
435,20160323,0,650000,652000,627000,634000,94009
436,20160322,0,641000,654000,639000,649000,99260
437,20160321,0,634000,648000,633000,642000,63761
438,20160318,0,633000,642000,630000,639000,59518
439,20160317,0,649000,649000,630000,636000,79516
440,20160316,0,644000,647000,635000,640000,41993
441,20160315,0,635000,648000,632000,641000,51664
442,20160314,0,641000,642000,625000,635000,52825
443,20160311,0,638000,649000,631000,636000,108114
444,20160310,0,608000,644000,602000,635000,136851
445,20160309,0,601000,610000,600000,608000,37660
446,20160308,0,588000,612000,588000,604000,49925
447,20160307,0,615000,619000,599000,599000,75885
448,20160304,0,615000,621000,604000,613000,66116
449,20160303,0,615000,615000,602000,610000,74873
450,20160302,0,584000,612000,581000,609000,119099
451,20160229,0,580000,585000,570000,572000,78709
452,20160226,0,581000,586000,575000,580000,45972
453,20160225,0,581000,589000,578000,582000,57095
454,20160224,0,583000,584000,572000,580000,71221
455,20160223,0,569000,587000,568000,584000,111857
456,20160222,0,575000,581000,565000,565000,86272
457,20160219,0,579000,582000,568000,573000,76728
458,20160218,0,578000,588000,576000,582000,83228
459,20160217,0,578000,587000,574000,575000,158463
460,20160216,0,553000,580000,553000,575000,123943
461,20160215,0,561000,567000,548000,556000,146518
462,20160212,0,555000,566000,544000,556000,198082
463,20160211,0,589000,589000,563000,563000,184341
464,20160205,0,600000,605000,596000,599000,55313
465,20160204,0,606000,607000,594000,602000,87070
466,20160203,0,593000,606000,593000,601000,94740
467,20160202,0,611000,618000,592000,600000,223453
468,20160201,0,622000,629000,608000,613000,144528
469,20160129,0,627000,631000,605000,628000,269400
470,20160128,0,642000,650000,621000,631000,277566
471,20160127,0,687000,687000,666000,674000,66471
472,20160126,0,675000,681000,671000,680000,56078
473,20160125,0,668000,677000,657000,673000,61255
474,20160122,0,650000,668000,640000,668000,91200
475,20160121,0,656000,657000,631000,639000,135186
476,20160120,0,670000,673000,651000,664000,95351
477,20160119,0,683000,684000,664000,670000,144586
478,20160118,0,663000,687000,663000,687000,140601
479,20160115,0,662000,673000,658000,670000,128415
480,20160114,0,642000,659000,640000,651000,85824
481,20160113,0,656000,657000,643000,649000,92220
482,20160112,0,636000,654000,632000,650000,78010
483,20160111,0,645000,651000,626000,628000,88620
484,20160108,0,652000,659000,642000,652000,63922
485,20160107,0,626000,660000,626000,652000,125253
486,20160106,0,645000,645000,622000,623000,95682
487,20160105,0,633000,642000,631000,637000,69456
488,20160104,0,650000,658000,632000,632000,93272
489,20151230,0,642000,668000,639000,658000,64215
490,20151229,0,649000,649000,631000,642000,50648
491,20151228,0,647000,650000,638000,641000,47511
492,20151224,0,649000,654000,646000,647000,32816
493,20151223,0,653000,654000,645000,653000,41170
494,20151222,0,646000,654000,637000,653000,46151
495,20151221,0,645000,652000,642000,648000,52789
496,20151218,0,649000,653000,636000,640000,49587
497,20151217,0,654000,659000,646000,653000,70546
498,20151216,0,649000,652000,645000,646000,77097
499,20151215,0,646000,648000,635000,643000,67405
500,20151214,0,634000,640000,628000,633000,72465
501,20151211,0,613000,640000,613000,640000,77560
502,20151210,0,606000,623000,604000,618000,83127
503,20151209,0,610000,620000,610000,612000,78660
504,20151208,0,609000,621000,609000,613000,74051
505,20151207,0,627000,634000,608000,608000,108353
506,20151204,0,628000,630000,613000,625000,78208
507,20151203,0,648000,649000,627000,633000,46391
508,20151202,0,644000,651000,636000,639000,74574
509,20151201,0,635000,649000,632000,647000,60670
510,20151130,0,633000,636000,620000,631000,137122
511,20151127,0,627000,647000,627000,632000,63802
512,20151126,0,630000,635000,623000,633000,55020
513,20151125,0,620000,633000,616000,630000,60328
514,20151124,0,625000,633000,619000,621000,62079
515,20151123,0,627000,629000,616000,624000,57656
516,20151120,0,616000,629000,610000,627000,72507
517,20151119,0,601000,609000,594000,609000,58688
518,20151118,0,599000,604000,594000,600000,40143
519,20151117,0,596000,608000,596000,599000,72457
520,20151116,0,590000,602000,589000,592000,110336
521,20151113,0,611000,616000,599000,606000,79453
522,20151112,0,622000,628000,617000,620000,51223
523,20151111,0,620000,630000,613000,625000,72445
524,20151110,0,634000,634000,607000,618000,111953
525,20151109,0,633000,636000,624000,634000,69266
526,20151106,0,621000,631000,620000,630000,47733
527,20151105,0,623000,635000,619000,629000,74342
528,20151104,0,625000,628000,616000,626000,130717
529,20151103,0,607000,619000,600000,619000,116881
530,20151102,0,600000,607000,597000,603000,103645
531,20151030,0,592000,607000,576000,600000,191054
532,20151029,0,600000,617000,588000,592000,236647
533,20151028,0,561000,577000,542000,577000,117682
534,20151027,0,547000,564000,547000,564000,67455
535,20151026,0,574000,584000,548000,562000,148900
536,20151023,0,552000,574000,551000,571000,120825
537,20151022,0,569000,572000,547000,547000,124372
538,20151021,0,580000,580000,572000,575000,81612
539,20151020,0,578000,585000,573000,578000,76475
540,20151019,0,588000,588000,572000,584000,87213
541,20151016,0,574000,587000,571000,587000,96505
542,20151015,0,562000,573000,560000,569000,65926
543,20151014,0,577000,577000,561000,562000,79743
544,20151013,0,578000,579000,568000,579000,78797
545,20151012,0,576000,583000,550000,574000,166198
546,20151008,0,567000,569000,547000,561000,96144
547,20151007,0,561000,561000,550000,558000,110751
548,20151006,0,545000,558000,542000,556000,118545
549,20151005,0,549000,563000,537000,543000,107172
550,20151002,0,550000,551000,535000,550000,140588
551,20151001,0,518000,546000,513000,546000,200898
552,20150930,0,515000,515000,500000,513000,130548
553,20150925,0,507000,512000,499500,508000,44307
554,20150924,0,512000,516000,503000,506000,113153
555,20150923,0,491500,518000,488500,505000,198201
556,20150922,0,505000,508000,494500,496000,78927
557,20150921,0,509000,509000,499500,500000,49726
558,20150918,0,515000,518000,498500,509000,99472
559,20150917,0,484000,515000,483500,510000,226216
560,20150916,0,472000,481500,468500,481500,130713
561,20150915,0,475000,479500,468000,470500,123370
562,20150914,0,490000,490500,468000,476000,148250
563,20150911,0,493000,495500,485500,488500,97766
564,20150910,0,490000,502000,490000,500000,151685
565,20150909,0,467000,502000,467000,501000,167247
566,20150908,0,475500,478000,458000,461500,97346
567,20150907,0,473000,476000,466000,474500,86443
568,20150904,0,470500,481500,466500,469500,99010
569,20150903,0,466000,480000,466000,470500,158907
570,20150902,0,470500,473500,462000,466000,160619
571,20150901,0,495500,501000,475000,476000,137711
572,20150831,0,487500,495500,471000,495500,179390
573,20150828,0,491500,496500,480500,488000,191470
574,20150827,0,495500,502000,486500,487500,146915
575,20150826,0,490000,503000,484000,489000,209874
576,20150825,0,497000,502000,482000,491500,191766
577,20150824,0,506000,515000,495500,500000,124043
578,20150821,0,525000,526000,507000,516000,97576
579,20150820,0,535000,538000,519000,521000,100228
580,20150819,0,516000,527000,516000,524000,128122
581,20150818,0,512000,525000,511000,522000,94196
582,20150817,0,513000,520000,510000,510000,76310
583,20150813,0,516000,525000,512000,519000,117041
584,20150812,0,522000,534000,517000,528000,153266
585,20150811,0,521000,530000,516000,523000,118707
586,20150810,0,507000,515000,503000,511000,122165
587,20150807,0,515000,519000,500000,501000,254547
588,20150806,0,526000,527000,515000,516000,168144
589,20150805,0,531000,531000,518000,525000,115109
590,20150804,0,520000,527000,518000,526000,107729
591,20150803,0,520000,525000,517000,520000,125078
592,20150731,0,508000,524000,505000,523000,275526
593,20150730,0,572000,572000,510000,518000,743728
594,20150729,0,605000,610000,600000,602000,108588
595,20150728,0,609000,613000,601000,610000,84122
596,20150727,0,625000,625000,606000,611000,73090
597,20150724,0,620000,627000,613000,625000,77265
598,20150723,0,634000,635000,617000,622000,74172
599,20150722,0,643000,644000,629000,635000,89075
600,20150721,0,649000,652000,641000,649000,64432
601,20150720,0,647000,657000,634000,638000,122608
602,20150717,0,618000,638000,612000,632000,207536
603,20150716,0,605000,624000,605000,607000,101006
604,20150715,0,614000,615000,605000,605000,57546
605,20150714,0,616000,619000,610000,614000,43411
606,20150713,0,612000,621000,609000,614000,40453
607,20150710,0,618000,618000,603000,612000,56521
608,20150709,0,612000,615000,594000,610000,94778
609,20150708,0,615000,638000,609000,619000,135080
610,20150707,0,627000,627000,610000,613000,81664
611,20150706,0,605000,621000,605000,616000,72393
612,20150703,0,621000,624000,608000,613000,83435
613,20150702,0,629000,629000,613000,615000,136739
614,20150701,0,628000,631000,603000,628000,231947
615,20150630,0,644000,649000,627000,634000,117991
616,20150629,0,650000,656000,641000,651000,66527
617,20150626,0,656000,671000,650000,658000,134720
618,20150625,0,652000,656000,641000,653000,101920
619,20150624,0,657000,658000,644000,649000,94340
620,20150623,0,635000,640000,629000,640000,46207
621,20150622,0,638000,642000,625000,631000,42431
622,20150619,0,625000,635000,615000,634000,69782
623,20150618,0,638000,639000,622000,624000,73362
624,20150617,0,621000,637000,620000,630000,111569
625,20150616,0,628000,634000,616000,627000,157110
626,20150615,0,607000,628000,607000,627000,330737
627,20150612,0,574000,603000,573000,601000,247231
628,20150611,0,575000,589000,566000,566000,230670
629,20150610,0,599000,599000,568000,568000,89547
630,20150609,0,590000,595000,577000,590000,126185
631,20150608,0,571000,594000,568000,587000,116540
632,20150605,0,569000,583000,565000,565000,168778
633,20150604,0,602000,605000,580000,580000,175738
634,20150603,0,620000,620000,601000,601000,65980
635,20150602,0,622000,623000,608000,611000,71107
636,20150601,0,611000,621000,609000,617000,80518
637,20150529,0,604000,629000,604000,609000,156606
638,20150528,0,613000,617000,605000,605000,75639
639,20150527,0,618000,618000,601000,608000,119610
640,20150526,0,635000,636000,617000,621000,72668
641,20150522,0,607000,627000,607000,627000,80822
642,20150521,0,608000,615000,595000,607000,161664
643,20150520,0,634000,634000,615000,616000,67023
644,20150519,0,623000,628000,617000,626000,103452
645,20150518,0,614000,621000,612000,618000,103829
646,20150515,0,610000,612000,606000,610000,62315
647,20150514,0,601000,610000,601000,607000,61571
648,20150513,0,604000,606000,600000,604000,80931
649,20150512,0,600000,611000,598000,605000,89531
650,20150511,0,610000,614000,603000,606000,84927
651,20150508,0,608000,620000,608000,609000,88637
652,20150507,0,613000,617000,604000,611000,137775
653,20150506,0,601000,616000,596000,613000,296941
654,20150504,0,643000,649000,603000,603000,391501
655,20150430,0,670000,682000,647000,650000,319618
656,20150429,0,683000,689000,674000,679000,163567
657,20150428,0,690000,690000,682000,686000,133770
658,20150427,0,673000,688000,667000,684000,204139
659,20150424,0,678000,685000,659000,667000,109127
660,20150423,0,680000,685000,667000,682000,126074
661,20150422,0,679000,679000,669000,674000,142551
662,20150421,0,669000,670000,653000,669000,118397
663,20150420,0,661000,672000,661000,666000,87557
664,20150417,0,675000,677000,667000,669000,100653
665,20150416,0,674000,675000,662000,673000,96797
666,20150415,0,669000,672000,665000,671000,85277
667,20150414,0,652000,668000,651000,667000,126276
668,20150413,0,646000,655000,643000,652000,94748
669,20150410,0,655000,662000,647000,650000,119993
670,20150409,0,645000,669000,643000,653000,176334
671,20150408,0,643000,647000,640000,645000,121290
672,20150407,0,641000,645000,637000,639000,68519
673,20150406,0,648000,653000,634000,635000,91250
674,20150403,0,638000,649000,632000,647000,138584
675,20150402,0,664000,669000,624000,642000,481098
676,20150401,0,672000,675000,661000,667000,75195
677,20150331,0,690000,691000,669000,671000,90718
678,20150330,0,685000,692000,673000,681000,88928
679,20150327,0,671000,673000,662000,672000,101438
680,20150326,0,670000,675000,660000,661000,95061
681,20150325,0,684000,685000,669000,670000,74720
682,20150324,0,685000,685000,667000,675000,88051
683,20150323,0,660000,681000,657000,680000,166177
684,20150320,0,643000,654000,643000,654000,90524
685,20150319,0,661000,662000,641000,641000,120392
686,20150318,0,658000,666000,650000,654000,110917
687,20150317,0,649000,663000,644000,660000,121724
688,20150316,0,653000,653000,637000,643000,125723
689,20150313,0,645000,653000,640000,650000,157276
690,20150312,0,633000,645000,627000,627000,184540
691,20150311,0,639000,646000,629000,629000,174115
692,20150310,0,652000,659000,641000,641000,111598
693,20150309,0,669000,674000,652000,653000,128196
694,20150306,0,692000,694000,672000,680000,92392
695,20150305,0,679000,701000,675000,689000,168193
696,20150304,0,649000,682000,639000,680000,268490
697,20150303,0,653000,659000,646000,650000,104024
698,20150302,0,662000,667000,641000,646000,150448
699,20150227,0,623000,668000,623000,661000,266350
700,20150226,0,636000,641000,626000,626000,174743
701,20150225,0,639000,644000,633000,641000,146624
702,20150224,0,637000,647000,635000,637000,142951
703,20150223,0,668000,672000,632000,639000,291781
704,20150217,0,666000,675000,666000,671000,35224
705,20150216,0,666000,676000,665000,669000,55533
706,20150213,0,675000,692000,666000,668000,99818
707,20150212,0,680000,680000,656000,680000,114927
708,20150211,0,660000,677000,653000,673000,192828
709,20150210,0,670000,678000,639000,648000,370269
710,20150209,0,715000,715000,680000,681000,214231
711,20150206,0,711000,721000,708000,715000,76000
712,20150205,0,722000,725000,710000,712000,77889
713,20150204,0,716000,727000,715000,725000,131353
714,20150203,0,711000,717000,705000,712000,121641
715,20150202,0,716000,723000,707000,711000,112994
716,20150130,0,725000,730000,711000,716000,300061
717,20150129,0,760000,762000,731000,736000,278475
718,20150128,0,760000,780000,760000,777000,123220
719,20150127,0,774000,775000,761000,764000,84489
720,20150126,0,775000,779000,768000,771000,69003
721,20150123,0,775000,780000,760000,780000,99297
722,20150122,0,783000,789000,762000,765000,83439
723,20150121,0,782000,789000,768000,780000,71564
724,20150120,0,780000,797000,780000,790000,101343
725,20150119,0,780000,784000,773000,776000,91305
726,20150116,0,779000,780000,757000,777000,116659
727,20150115,0,748000,778000,741000,777000,187236
728,20150114,0,735000,745000,732000,739000,63850
729,20150113,0,752000,755000,738000,740000,48928
730,20150112,0,746000,760000,746000,750000,36733
731,20150109,0,759000,759000,742000,752000,73987
732,20150108,0,729000,745000,729000,744000,56392
733,20150107,0,749000,749000,730000,732000,51987
734,20150106,0,741000,754000,735000,743000,92315
735,20150105,0,726000,750000,721000,749000,112572
736,20150102,0,713000,733000,712000,731000,64225
